species,family,geog_range,movement_keyword,demers_pelag,length,common_name,kfin,r_fin,diet_troph3,Class,iucn_category,pred_50,pred_05,pred_95,pred_25,pred_75,observed_homerange,predicted_homerange,predicted_pld,observed_pld
Ablennes hians,Belonidae,10402500,habitat_coastal,reef-associated,140,NA,38.09834531,0.580917618,4.481651192,Actinopteri,LC,0.029410133,0.029410133,220.625,0.0013065,8.5,NA,0.21664809,29.97405829,NA
Acanthistius brasilianus,Serranidae,772500,habitat_benthic,benthopelagic,60,NA,43325.50972,0.392822614,4.024033319,Actinopteri,DD,0.04451615,0.04451615,4.17,0.003348104,0.469069439,NA,0.054315039,53.1847708,NA
Acanthocybium solandri,Scombridae,193442500,pelagic,pelagic-oceanic,250,NA,23280.69491,0.522684226,4.26,Actinopteri,LC,24.63249455,24.63249455,537466.5429,5.55,91382,NA,1468.929952,42.09190101,NA
Acanthopagrus berda,Sparidae,6690000,habitat_coastal,demersal,90,NA,141.2034009,0.547748847,3.547737166,Actinopteri,LC,0.218337659,0.218337659,8.5,0.022602017,0.419377278,NA,0.067122307,30.2054696,NA
Acanthopagrus bifasciatus,Sparidae,815000,habitat_reef,reef-associated,36.20000076,NA,1089.812244,0.48670769,3.445006623,Actinopteri,LC,0.32,0.32,0.77,0.060991803,0.419377278,NA,0.046028762,24.71560293,NA
Acanthopagrus latus,Sparidae,4432500,habitat_coastal,demersal,40,yellowfin seabream,3432.653845,0.418755885,3.865267935,Actinopteri,DD,0.3026,0.3026,4.17,0.20397299,0.419377278,0.146,0.049003042,30.9686077,33.7
Acanthopagrus schlegelii,Sparidae,675000,habitat_coastal,demersal,50,blackhead seabream,2274.073215,0.44458551,3.304919528,Actinopteri,NA,0.32,0.32,0.902079429,0.029410133,0.419377278,0.364,0.065655158,29.5194732,NA
Acanthurus sohal,Acanthuridae,955000,habitat_reef,reef-associated,40,NA,202.6964938,0.530369312,2.146866126,Actinopteri,LC,0.060991803,0.060991803,0.77,0.020686774,0.364,NA,0.044087078,35.44937462,NA
Acipenser transmontanus,Acipenseridae,350000,habitat_coastal,demersal,610,NA,3863.42155,0.08634626,3.25,Actinopteri,LC,0.0034,0.0034,119173.5,6.04E-04,0.631142013,NA,0.095338433,51.78197897,NA
Aethaloperca rogaa,Serranidae,10922500,habitat_reef,reef-associated,60,NA,161.7523983,0.392822614,4.201476984,Actinopteri,LC,0.027348309,0.027348309,39.83,0.00123027,0.275045451,NA,0.118549014,29.61158528,NA
Albula vulpes,Albulidae,1525000,habitat_lagoon,reef-associated,104,bonefish,847.2094178,0.463332904,3.73,Actinopteri,NT,0.029410133,0.029410133,69.37218463,0.004257833,0.3026,0.65,0.06338311,30.63762531,NA
Alepes djedaba,Carangidae,8030000,habitat_reef,reef-associated,40,NA,261.8920556,1.017167166,3.379632579,Actinopteri,LC,0.190553387,0.190553387,69.37218463,0.002075459,0.32,NA,0.054001206,37.50322986,NA
Allocyttus niger,Oreosomatidae,2897500,habitat_deep,bathypelagic,47,NA,53915.20279,0.064718913,3.566415446,Actinopteri,NA,0.222006046,0.222006046,47.26664184,0.02836049,0.75925,NA,0.070330321,57.42709887,NA
Allothunnus fallai,Scombridae,48347500,pelagic,pelagic-oceanic,105,NA,451.3659255,0.596518223,3.7,Actinopteri,LC,5.55,5.55,91382,0.027348309,23.22898081,NA,3.124797092,30.69430762,NA
Alosa fallax,Clupeidae,2272500,migratory,pelagic-neritic,60,NA,40.65587962,0.806181057,4.03,Actinopteri,LC,0.021204,0.021204,69.37218463,0.0013065,0.235587588,NA,0.076854902,35.56004388,NA
Alosa immaculata,Clupeidae,90000,migratory,pelagic-neritic,39,NA,984.1313685,0.989034626,3.98,Actinopteri,VU,0.0013065,0.0013065,42.10249306,6.45E-06,0.021204,NA,0.007108207,36.54466663,NA
Alosa pseudoharengus,Clupeidae,887500,habitat_coastal,pelagic-neritic,40,NA,24511.5196,1.842742708,3.39,Actinopteri,LC,0.218337659,0.218337659,69.37218463,0.021204,0.419377278,NA,0.063103996,29.96572933,5.484285714
Alosa sapidissima,Clupeidae,690000,pelagic,pelagic-neritic,76,NA,4287.867606,1.012650669,3.48,Actinopteri,LC,0.060991803,0.060991803,69.37218463,0.020686774,1.699264547,NA,0.090600331,31.1198105,8.916666667
Amblygaster sirm,Clupeidae,9910000,habitat_coastal,reef-associated,27,NA,71364.80881,1.416628191,2.978049609,Actinopteri,LC,2.14E-04,2.14E-04,10.48565514,8.13E-06,0.259189177,NA,0.011118755,46.50725303,NA
Ammodytes personatus,Ammodytidae,1835000,habitat_coastal,demersal,15,NA,2935070.704,0.344053886,3.1525,Actinopteri,NA,0.027348309,0.027348309,0.428875606,8.13E-06,0.218337659,NA,0.007966314,49.7468625,NA
Amphichthys cryptocentrus,Batrachoididae,972500,sedentary,reef-associated,40,NA,3263.489613,0.57223899,3.75,Actinopteri,LC,0.218337659,0.218337659,69.37218463,0.020686774,0.419377278,NA,0.042511287,28.27429759,NA
Anarhichas denticulatus,Anarhichadidae,3635000,habitat_deep,benthopelagic,180,NA,25393.14083,0.100670808,4.05205074,Actinopteri,NA,0.25,0.25,69.37218463,0.007726488,7.78,NA,0.260037564,45.41195355,NA
Anarhichas lupus,Anarhichadidae,1955000,habitat_coastal,demersal,150,NA,81375.50792,0.104945385,3.55,Actinopteri,NA,0.029410133,0.029410133,69.37218463,0.0034,0.75925,NA,0.178161494,46.24625559,NA
Anchoa nasus,Engraulidae,865000,habitat_coastal,pelagic-neritic,17,NA,7225.316677,1.296884333,3.33,Actinopteri,LC,0.020686774,0.020686774,1.207703124,8.13E-06,0.32,NA,0.01053902,45.03604219,NA
Anodontostoma chacunda,Clupeidae,8597500,habitat_coastal,pelagic-neritic,22,NA,116060.5257,1.401207267,2.931353828,Actinopteri,LC,0.0013065,0.0013065,69.37218463,8.13E-06,0.3026,NA,0.011600655,48.0516869,NA
Anoplopoma fimbria,Anoplopomatidae,2682500,deep,bathydemersal,120,NA,951557.8095,0.035406384,3.84,Actinopteri,NA,0.040637322,0.040637322,220.625,0.0034,0.3026,NA,0.053184689,68.06949429,NA
Antimora rostrata,Moridae,222710000,deep,bathypelagic,75,NA,486.5318366,0.11723796,3.622450288,Actinopteri,LC,23.22898081,23.22898081,537466.5429,5.55,91382,NA,605.7281747,59.05118314,NA
Aphanopus carbo,Trichiuridae,2627500,deep,bathypelagic,151,NA,84676.53886,0.346089063,4.462972912,Actinopteri,NA,0.04451615,0.04451615,220.625,0.0034,0.764606108,NA,0.153992976,47.82132679,NA
Aphareus rutilans,Lutjanidae,9965000,habitat_reef,reef-associated,110,NA,1738.87445,0.312215755,4.117424722,Actinopteri,LC,0.025016,0.025016,39.83,0.0034,0.145837,NA,0.06631216,39.02680102,NA
Aphia minuta,Gobiidae,2717500,habitat_coastal,pelagic-neritic,7.900000095,NA,40.81806963,1.70140334,3.174171555,Actinopteri,NA,0.020686774,0.020686774,5.523838677,8.13E-06,0.275045451,NA,0.010145803,36.33979585,NA
