species,iucn_category
Acanthopagrus schlegelii,LC
Allocyttus niger,NA
Ammodytes personatus,NA
Anarhichas denticulatus,EN
Anarhichas lupus,DD
Anoplopoma fimbria,NA
Aphanopus carbo,LC
Aphia minuta,LC
Aplodactylus punctatus,NA
Arctoscopus japonicus,NA
Argentina silus,LC
Argentina sphyraena,LC
Arripis trutta,NA
Atheresthes evermanni,LC
Atheresthes stomias,LC
Atrobucca nibe,LC
Austroglossus pectoralis,DD
Auxis thazard,LC
Boreogadus saida,LC
Bregmaceros mcclellandi,NA
Brosme brosme,LC
Centroberyx affinis,NA
Champsocephalus gunnari,NA
Channichthys rhinoceratus,NA
Cheilodactylus variegatus,NA
Coelorinchus chilensis,NA
Cololabis saira,NA
Cottoperca gobio,LC
Cyclopterus lumpus,NT
Cynoscion guatucupa,LC
Cynoscion regalis,EN
Cynoscion striatus,NA
Cyttus traversi,NA
Diagramma pictum,NT
Diastobranchus capensis,NA
Dissostichus eleginoides,NA
Drepane punctata,LC
Eleginus gracilis,NA
Eleginus nawaga,NA
Eleutheronema tetradactylum,EN
Eutrigla gurnardus,LC
Gadiculus argenteus,LC
Gadus macrocephalus,NA
Genypterus blacodes,NA
Genypterus capensis,NA
Genypterus chilensis,NA
Glossanodon semifasciatus,NA
Glyptocephalus cynoglossus,VU
Glyptocephalus zachirus,LC
Harpadon nehereus,NT
Hexagrammos decagrammus,LC
Hilsa kelee,LC
Hippoglossoides elassodon,LC
Hippoglossoides platessoides,EN
Hoplostethus atlanticus,VU
Hyperoglyphe antarctica,NA
Istiophorus albicans,NA
Joturus pichardi,LC
Kathetostoma giganteum,NA
Lactarius lactarius,DD
Larimichthys crocea,CR
Larimichthys polyactis,LC
Lateolabrax japonicus,NA
Lates calcarifer,LC
Lepidonotothen squamifrons,NA
Lepidopsetta bilineata,LC
Lepidorhombus boscii,LC
Lepidorhombus whiffiagonis,LC
Lepidorhynchus denticulatus,NA
Lethrinus borbonicus,LC
Lethrinus mahsena,EN
Limanda aspera,LC
Lophius americanus,NA
Lutjanus malabaricus,LC
Lutjanus purpureus,NA
Macrourus berglax,LC
Macrourus carinatus,NA
Macrourus whitsoni,NA
Mallotus villosus,LC
Mene maculata,NA
Merluccius australis,NA
Merluccius hubbsi,NA
Micromesistius australis,NA
Micromesistius poutassou,LC
Microstomus kitt,LC
Microstomus pacificus,LC
Miichthys miiuy,DD
Molva dypterygia,VU
Molva molva,LC
Mullus argentinae,NA
Mullus barbatus,LC
Muraenesox cinereus,LC
Nemipterus japonicus,LC
Normanichthys crockeri,NA
Oncorhynchus gorbuscha,NA
Oncorhynchus keta,NA
Oncorhynchus kisutch,NA
Oncorhynchus masou,EN
Oncorhynchus tshawytscha,NA
Ophiodon elongatus,NA
Osmerus mordax,LC
Otolithes ruber,LC
Pagrus auratus,LC
Pampus argenteus,VU
Paralichthys olivaceus,NA
Paristiopterus labiosus,NA
Parona signata,LC
Parophrys vetulus,LC
Patagonotothen ramsayi,DD
Pelates quadrilineatus,LC
Pennahia argentata,LC
Pentaceros richardsoni,NA
Peprilus triacanthus,NA
Percophis brasiliensis,NA
Phycis blennoides,LC
Plagiogeneion rubiginosum,LC
Plectorhinchus gaterinus,LC
Plectorhinchus pictus,LC
Plectorhinchus schotaf,LC
Plectorhinchus sordidus,LC
Pleurogrammus azonus,NA
Pleurogrammus monopterygius,NA
Pleuronectes quadrituberculatus,LC
Pollachius virens,LC
Pomadasys kaakan,LC
Pomadasys stridens,LC
Prolatilus jugularis,NA
Psettichthys melanostictus,LC
Psettodes erumei,DD
Pseudopercis semifasciata,NA
Pseudophycis bachus,NA
Pseudopleuronectes americanus,VU
Pseudopleuronectes herzensteini,LC
Reinhardtius hippoglossoides,NT
Rexea solandri,NA
Salilota australis,DD
Salvelinus alpinus,LC
Sarda chiliensis,LC
Scolopsis taeniata,LC
Scomberesox saurus,LC
Scophthalmus aquosus,LC
Scophthalmus maximus,LC
Scophthalmus rhombus,LC
Scorpaenichthys marmoratus,NA
Sebastes aleutianus,NA
Sebastes alutus,NA
Sebastes carnatus,NA
Sebastes chlorostictus,NA
Sebastes crameri,NA
Sebastes diploproa,NA
Sebastes elongatus,NA
Sebastes entomelas,NA
Sebastes flavidus,NA
Sebastes goodei,NA
Sebastes jordani,NA
Sebastes melanops,NA
Sebastes melanostomus,NA
Sebastes mystinus,NA
Sebastes norvegicus,VU
Sebastes paucispinis,NA
Sebastes pinniger,NA
Sebastes polyspinis,NA
Sebastes ruberrimus,NA
Sebastes rufus,NA
Sebastes variabilis,NA
Sebastolobus altivelis,NA
Seriolella brama,NA
Seriolella porosa,NA
Seriolella punctata,NA
Sphyraena jello,LC
Sphyraena obtusata,LC
Thyrsites atun,NA
Trachipterus arcticus,LC
Tragulichthys jaculiferus,NA
Trisopterus luscus,LC
Trisopterus minutus,LC
Tylosurus crocodilus,LC
Umbrina canosai,LC
Umbrina cirrosa,VU
Urophycis brasiliensis,NA
Urophycis chuss,NA
Urophycis tenuis,NA
Zenopsis nebulosa,NA
Zoarces viviparus,LC
