magnitude_homerange,month_pld,species,class
-1,2,Acanthopagrus latus,1
-1,1,Acanthopagrus schlegelii,4
-1,2,Albula vulpes,1
-3,2,Balistes capriscus,1
-2,1,Caranx crysos,4
2,2,Centropomus undecimalis,6
0,2,Centropristis striata,1
-3,1,Cephalopholis argus,4
-6,2,Cephalopholis boenak,7
-5,2,Cephalopholis hemistiktos,7
-4,1,Cephalopholis miniata,4
-4,2,Conger conger,7
-2,2,Dicentrarchus labrax,1
0,2,Epinephelus morio,1
-2,2,Epinephelus striatus,1
-1,2,Epinephelus tauvina,1
-3,1,Lachnolaimus maximus,4
-3,1,Lethrinus harak,4
0,2,Lethrinus nebulosus,1
-1,2,Lutjanus griseus,1
5,2,Makaira nigricans,6
0,2,Morone saxatilis,1
-3,3,Mulloidichthys flavolineatus,3
-3,2,Mycteroperca microlepis,1
-2,3,Naso unicornis,3
0,2,Ocyurus chrysurus,1
-3,2,Ophiodon elongatus,1
-1,2,Pagrus pagrus,1
-5,2,Paralichthys olivaceus,7
-2,2,Parophrys vetulus,1
-2,2,Plectropomus areolatus,1
-2,1,Plectropomus leopardus,4
-3,2,Pollachius pollachius,1
-2,3,Pollachius virens,3
-6,2,Prolatilus jugularis,7
0,2,Pseudocaranx dentex,1
1,2,Salmo trutta,1
-3,2,Scorpaenichthys marmoratus,1
-1,2,Sebastes melanops,1
-3,2,Sebastes mystinus,1
-1,2,Serranus cabrilla,1
-2,2,Sparisoma cretense,1
-1,2,Sparus aurata,1
0,2,Sphyraena barracuda,1
4,1,Thunnus albacares,2
4,2,Thunnus orientalis,6
-1,2,Xyrichtys novacula,1
-1,2,Boreogadus saida,1
1,2,Caranx ignobilis,1
-3,2,Cheilinus undulatus,1
-1,2,Diplodus sargus,1
-1,1,Diplodus vulgaris,4
-1,5,Gadus morhua,5
7,2,Istiophorus platypterus,6
-2,2,Labrus bergylta,1
-1,2,Lutjanus analis,1
-2,1,Lutjanus campechanus,4
-2,2,Sarpa salpa,1
-1,2,Semicossyphus pulcher,1
0,2,Solea senegalensis,1
-1,1,Ablennes hians,4
-2,2,Acanthistius brasilianus,1
4,2,Acanthocybium solandri,6
-1,2,Acanthopagrus berda,1
-3,1,Acanthopagrus bifasciatus,4
-2,2,Acanthurus sohal,1
-1,2,Acipenser transmontanus,1
-2,1,Aethaloperca rogaa,4
-2,2,Alepes djedaba,1
-2,2,Allocyttus niger,1
0,2,Allothunnus fallai,1
-2,2,Alosa fallax,1
-3,2,Alosa immaculata,1
-2,1,Alosa pseudoharengus,4
-1,1,Alosa sapidissima,4
-3,2,Amblygaster sirm,1
-3,2,Ammodytes personatus,1
-2,1,Amphichthys cryptocentrus,4
-1,2,Anarhichas denticulatus,1
-1,2,Anarhichas lupus,1
-3,2,Anchoa nasus,1
-3,2,Anodontostoma chacunda,1
-1,3,Anoplopoma fimbria,3
3,2,Antimora rostrata,6
-1,2,Aphanopus carbo,1
-2,2,Aphareus rutilans,1
-3,2,Aphia minuta,1
-3,2,Aplodactylus punctatus,1
-1,2,Aprion virescens,1
-2,1,Apsilus fuscus,4
-1,1,Archosargus probatocephalus,4
-3,2,Arctoscopus japonicus,1
-2,2,Argentina silus,1
-3,2,Argentina sphyraena,1
-1,2,Argyrops spinifer,1
-2,2,Argyrosomus hololepidotus,1
-1,2,Argyrosomus regius,1
-1,2,Arripis trutta,1
-2,2,Atheresthes evermanni,1
-2,2,Atheresthes stomias,1
-3,2,Atherina boyeri,1
-2,2,Atractoscion aequidens,1
-2,2,Atractoscion nobilis,1
-1,1,Atrobucca nibe,4
-3,2,Atule mate,1
-2,2,Austroglossus microlepis,1
-2,2,Austroglossus pectoralis,1
-1,1,Auxis thazard,4
-1,1,Belone belone,4
-1,2,Beryx decadactylus,1
-1,2,Beryx splendens,1
-1,2,Bolbometopon muricatum,1
-2,1,Boops boops,4
-2,2,Bothus pantherinus,1
-3,2,Brachydeuterus auritus,1
3,2,Brama brama,6
-2,2,Bregmaceros mcclellandi,1
-4,2,Brevoortia aurea,7
-3,2,Brevoortia patronus,1
-2,2,Brevoortia tyrannus,1
-1,2,Brosme brosme,1
-1,2,Brotula barbata,1
-1,2,Callorhinchus callorynchus,1
-1,2,Callorhinchus milii,1
-2,1,Caprodon longimanus,4
-3,2,Capros aper,1
-2,2,Carangoides bajad,1
-1,2,Carangoides fulvoguttatus,1
-1,2,Carangoides malabaricus,1
-1,2,Caranx hippos,1
-1,2,Caranx melampygus,1
-2,1,Caranx rhonchus,4
-2,2,Caranx ruber,1
-1,2,Caranx sexfasciatus,1
-4,2,Centriscops humerosus,7
-2,2,Centroberyx affinis,1
-2,1,Cephalopholis fulva,4
-2,2,Cepola macrophthalma,1
-3,2,Cetengraulis edentulus,1
-3,2,Cetengraulis mysticetus,1
-2,2,Champsocephalus gunnari,1
-2,2,Channichthys rhinoceratus,1
-1,2,Chanos chanos,1
-2,2,Cheilodactylus variegatus,1
-1,1,Cheimerius nufar,4
-2,2,Chelidonichthys capensis,1
-1,2,Chelidonichthys cuculus,1
-1,2,Chelidonichthys kumu,1
-1,2,Chelidonichthys lucerna,1
-1,2,Chimaera monstrosa,1
-1,2,Chirocentrus dorab,1
-1,2,Chirocentrus nudus,1
-1,2,Chloroscombrus chrysurus,1
-3,2,Chloroscombrus orqueta,1
-2,2,Cilus gilberti,1
-2,6,Clupea harengus,5
-4,2,Clupeonella cultriventris,7
-3,2,Coelorinchus chilensis,1
-2,2,Cololabis saira,1
-1,2,Conger myriaster,1
-1,2,Conger oceanicus,1
-2,2,Conger orbignianus,1
-3,2,Conodon nobilis,1
-2,1,Coregonus albula,4
-1,1,Coregonus lavaretus,4
3,2,Coryphaena hippurus,6
-1,3,Coryphaenoides rupestris,3
-2,1,Cottoperca gobio,4
-4,2,Crenidens crenidens,7
-2,1,Cromileptes altivelis,4
-3,1,Ctenolabrus rupestris,4
-1,2,Cyclopterus lumpus,1
-2,2,Cymatoceps nasutus,1
-2,2,Cynoponticus coniceps,1
-1,2,Cynoscion acoupa,1
-2,1,Cynoscion analis,4
-2,2,Cynoscion arenarius,1
-2,2,Cynoscion guatucupa,1
-1,2,Cynoscion jamaicensis,1
-1,2,Cynoscion leiarchus,1
-1,1,Cynoscion nebulosus,4
-2,2,Cynoscion regalis,1
-2,2,Cynoscion striatus,1
-2,2,Cynoscion virescens,1
-2,1,Cyttus traversi,4
-2,1,Dactylopterus volitans,4
-2,2,Decapterus macrosoma,1
-3,2,Decapterus maruadsi,1
-1,2,Decapterus russelli,1
-2,1,Dentex angolensis,4
-2,1,Dentex congoensis,4
-2,2,Dentex dentex,1
-1,1,Dentex macrophthalmus,4
-1,2,Diagramma pictum,1
-2,2,Diapterus auratus,1
-1,2,Diastobranchus capensis,1
-1,1,Dicentrarchus punctatus,4
-3,2,Dicologlossa cuneata,1
-3,2,Diplodus annularis,1
-1,2,Dissostichus eleginoides,1
-2,2,Drepane africana,1
-1,1,Drepane punctata,4
-3,2,Dussumieria acuta,1
-3,2,Dussumieria elopsoides,1
0,2,Elagatis bipinnulata,1
-2,2,Eleginus gracilis,1
-2,2,Eleginus nawaga,1
-1,2,Eleutheronema tetradactylum,1
-2,1,Elops lacerta,4
-1,2,Elops saurus,1
-3,2,Encrasicholina punctifer,1
-3,2,Engraulis anchoita,1
-3,2,Engraulis encrasicolus,1
-3,2,Engraulis japonicus,1
-3,2,Engraulis mordax,1
-3,3,Engraulis ringens,3
-2,3,Eopsetta jordani,3
-1,2,Epigonus telescopus,1
-2,2,Epinephelus aeneus,1
-1,1,Epinephelus areolatus,4
-1,2,Epinephelus chlorostigma,1
-2,2,Epinephelus fuscoguttatus,1
-1,2,Epinephelus goreensis,1
-3,2,Epinephelus merra,1
-2,2,Epinephelus morrhua,1
-2,2,Epinephelus multinotatus,1
-2,2,Epinephelus polylepis,1
-3,2,Epinephelus summana,1
-2,2,Eptatretus cirrhatus,1
-2,2,Ethmalosa fimbriata,1
-4,2,Ethmidium maculatum,7
-4,2,Etrumeus whiteheadi,7
0,2,Euthynnus affinis,1
-1,1,Euthynnus alletteratus,4
-1,1,Euthynnus lineatus,4
-2,2,Eutrigla gurnardus,1
-2,2,Fistularia corneta,1
-4,2,Gadiculus argenteus,7
-1,2,Gadus macrocephalus,1
-2,2,Galeoides decadactylus,1
0,2,Gasterochisma melampus,1
-3,2,Gasterosteus aculeatus,1
-2,2,Genyonemus lineatus,1
-1,2,Genypterus blacodes,1
-2,2,Genypterus capensis,1
-2,2,Genypterus chilensis,1
-4,2,Gerres nigri,7
-4,2,Gerres oblongus,7
-3,2,Gerres oyena,1
-3,2,Glossanodon semifasciatus,1
-2,3,Glyptocephalus cynoglossus,3
-2,2,Glyptocephalus zachirus,1
0,2,Gnathanodon speciosus,1
-4,2,Grammoplites suppositus,7
