species,family,geog_range,movement_keyword,demers_pelag,length,common_name,kfin,r_fin,diet_troph3,Class,iucn_category,pred_50,pred_05,pred_95,pred_25,pred_75,observed_homerange,predicted_homerange,predicted_pld,observed_pld,home_range,pld,magnitude_homerange,month_pld,class,class2,class3,spec_code,genus,order,ocean,basin,food_i,food_mode,temp_min,temp_max,climate,body_shape_i,temp_cons,sp_richness,circadian,dev_place,longevity_wild,temp_preferred,fecundity_mean,oxygen_cons,temp_range
Ablennes hians,Belonidae,10402500,habitat_coastal,reef-associated,140,NA,38.09834531,0.580917618,4.481651192,Actinopteri,LC,0.029410133,0.029410133,220.625,0.0013065,8.5,NA,0.21664809,29.97405829,NA,0.21664809,29.97405829,-1,1,4,1: mid/low,1,972,Ablennes,Beloniformes,"Atlantic, Indian Ocean, Pacific",Both,nekton,specialist,NA,NA,"subtropical, Subtropical, temperate, Temperate, tropical, Tropical",elongated,NA,47,NA,planktonic,NA,27,2885045.223853211,NA,4
Acanthistius brasilianus,Serranidae,772500,habitat_benthic,benthopelagic,60,NA,43325.50972,0.392822614,4.024033319,Actinopteri,DD,0.04451615,0.04451615,4.17,0.003348104,0.469069439,NA,0.054315039,53.1847708,NA,0.054315039,53.1847708,-2,2,2,2: low/mid,2,351,Acanthistius,Perciformes/Serranoidei,Atlantic,West,"nekton, zoobenthos",generalist,NA,NA,"Subtropical, temperate, tropical",fusiform / normal,NA,566,NA,planktonic,26.655172413793103,15,2885045.223853211,201.08333333333334,5.130434782608695
Acanthocybium solandri,Scombridae,193442500,pelagic oceanic,pelagic oceanic,250,NA,23280.69491,0.522684226,4.26,Actinopteri,LC,24.63249455,24.63249455,537466.5429,5.55,91382,NA,1468.929952,42.09190101,NA,1468.929952,42.09190101,3,2,3,6: high/mid,6,89,Acanthocybium,Scombriformes,"Atlantic, Indian Ocean, Mediterranean and Black Sea, Pacific",Both,"nekton, plants, zoobenthos",generalist,NA,NA,"subtropical, Subtropical, temperate, tropical, Tropical",elongated,NA,54,NA,planktonic,12.33529416252585,27,2885045.223853211,524.3454545454546,13.476923062251169
Acanthopagrus berda,Sparidae,6690000,habitat_coastal,demersal,90,NA,141.2034009,0.547748847,3.547737166,Actinopteri,LC,0.218337659,0.218337659,8.5,0.022602017,0.419377278,NA,0.067122307,30.2054696,NA,0.067122307,30.2054696,-2,2,2,2: low/mid,2,5526,Acanthopagrus,Eupercaria/misc,"Atlantic, Indian Ocean",Both,"nekton, zoobenthos, zooplankton",generalist,NA,NA,"subtropical, Subtropical, Temperate, tropical, Tropical",short and / or deep,NA,158,NA,planktonic,14,26,2885045.223853211,197.78571428571428,8
Acanthopagrus bifasciatus,Sparidae,815000,habitat_reef,reef-associated,36.20000076,NA,1089.812244,0.48670769,3.445006623,Actinopteri,LC,0.32,0.32,0.77,0.060991803,0.419377278,NA,0.046028762,24.71560293,NA,0.046028762,24.71560293,-2,1,4,1: mid/low,1,4543,Acanthopagrus,Eupercaria/misc,"Indian Ocean, Mediterranean and Black Sea",Both,zoobenthos,specialist,NA,NA,"subtropical, Subtropical, tropical, Tropical",fusiform / normal,NA,158,NA,planktonic,19,26,2885045.223853211,197.78571428571428,8
Acanthopagrus latus,Sparidae,4432500,habitat_coastal,demersal,40,yellowfin seabream,3432.653845,0.418755885,3.865267935,Actinopteri,DD,0.3026,0.3026,4.17,0.20397299,0.419377278,0.146,0.049003042,30.9686077,33.7,0.146,33.7,-1,2,2,2: low/mid,2,6356,Acanthopagrus,Eupercaria/misc,Pacific,West,"nekton, zoobenthos",generalist,NA,NA,"subtropical, Subtropical, temperate, tropical, Tropical",short and / or deep,NA,158,NA,planktonic,19,27,1811434,197.78571428571428,8
Acanthopagrus schlegelii,Sparidae,675000,habitat_coastal,demersal,50,blackhead seabream,2274.073215,0.44458551,3.304919528,Actinopteri,NA,0.32,0.32,0.902079429,0.029410133,0.419377278,0.364,0.065655158,29.5194732,NA,0.364,29.5194732,-1,1,4,1: mid/low,1,6531,Acanthopagrus,Eupercaria/misc,Pacific,West,"nekton, plants, zoobenthos, zooplankton",generalist,NA,NA,"subtropical, Subtropical, temperate, tropical, Tropical",short and / or deep,25,158,NA,planktonic,19,17,2885045.223853211,197.78571428571428,8
Acanthurus sohal,Acanthuridae,955000,habitat_reef,reef-associated,40,NA,202.6964938,0.530369312,2.146866126,Actinopteri,LC,0.060991803,0.060991803,0.77,0.020686774,0.364,NA,0.044087078,35.44937462,NA,0.044087078,35.44937462,-2,2,2,2: low/mid,2,4740,Acanthurus,Acanthuriformes,"Indian Ocean, Pacific",West,plants,specialist,24,30,"subtropical, Subtropical, tropical, Tropical",short and / or deep,NA,84,NA,planktonic,32.42857142857143,26,2885045.223853211,NA,6
Acipenser transmontanus,Acipenseridae,350000,habitat_coastal,demersal,610,NA,3863.42155,0.08634626,3.25,Actinopteri,LC,0.0034,0.0034,119173.5,6.04e-4,0.631142013,NA,0.095338433,51.78197897,NA,0.095338433,51.78197897,-2,2,2,2: low/mid,2,2594,Acipenser,Acipenseriformes,Pacific,Both,"nekton, others, zoobenthos, zooplankton",generalist,NA,NA,"boreal, Subtropical, temperate, Temperate",elongated,12.5,25,NA,in close association with substrate,104,10.166666666666666,2885045.223853211,63.689,13.314999872843417
Aethaloperca rogaa,Serranidae,10922500,habitat_reef,reef-associated,60,NA,161.7523983,0.392822614,4.201476984,Actinopteri,LC,0.027348309,0.027348309,39.83,0.00123027,0.275045451,NA,0.118549014,29.61158528,NA,0.118549014,29.61158528,-1,1,4,1: mid/low,1,6441,Aethaloperca,Perciformes/Serranoidei,"Indian Ocean, Pacific",Both,"nekton, zoobenthos",generalist,NA,NA,"subtropical, Subtropical, temperate, tropical, Tropical",short and / or deep,NA,566,NA,2002-03-26T00:00:00Z,26.655172413793103,27,2885045.223853211,201.08333333333334,5.130434782608695
