species,genus,subfamily,family,order,class_taxon,super_class,temp_preferred,temp_range,climate,northern_lat,nrange_ns,southern_lat,srange_ns,western_lat,wrange_ew,eastern_lat,erange_ew,fecundity_max,fecundity_mean,body_shape_i,longevity_wild,oxygen_cons,temp_cons,rep_guild2,spawning,spawning_ground,dev_place,observed_homerange,n_ind,geog_range,movement_keyword,demers_pelag,length,common_name,kfin,r_fin,diet_troph3,iucn_category,predicted_homerange,predicted_pld,observed_pld,home_range,pld,magnitude_homerange,month_pld,food_i,class,class2
Ablennes hians,Ablennes,NA,Belonidae,Beloniformes,Actinopteri,Osteichthyes,27,NA,tropical,30,N,12,N,33,E,43,E,NA,NA,elongated,NA,NA,NA,open water/substratum egg scatterers,NA,NA,planktonic,NA,NA,10402500,habitat_coastal,reef-associated,140,NA,38.09834531,0.580917618,4.482012652,LC,0.136153315,29.97405829,NA,0.136153315,29.97405829,-1,1,nekton,4,4
Acanthistius brasilianus,Acanthistius,Anthiadinae,Serranidae,Perciformes/Serranoidei,Actinopteri,Osteichthyes,15,NA,subtropical,90,N,70,S,97,W,20,E,NA,NA,fusiform / normal,NA,NA,NA,NA,NA,coastal,NA,NA,NA,772500,habitat_benthic,benthopelagic,60,NA,43325.50972,0.392822614,4.024307256,DD,0.08495624,53.1847708,NA,0.08495624,53.1847708,-2,2,"nekton, zoobenthos",1,8
Acanthocybium solandri,Acanthocybium,Scombrinae,Scombridae,Scombriformes,Actinopteri,Osteichthyes,27,NA,tropical,30,N,66,S,20,E,142,E,NA,NA,elongated,NA,NA,NA,open water/substratum egg scatterers,NA,NA,planktonic,NA,NA,193442500,pelagic,pelagic-oceanic,250,NA,23280.69491,0.522684226,4.26,LC,26979.85289,42.09190101,NA,26979.85289,42.09190101,4,2,"nekton, plants, zoobenthos",6,2
Acanthopagrus berda,Acanthopagrus,NA,Sparidae,Eupercaria/misc,Actinopteri,Osteichthyes,26,NA,tropical,30,N,12,N,33,E,43,E,NA,NA,short and / or deep,14,NA,NA,NA,NA,riverine,NA,NA,NA,6690000,habitat_coastal,demersal,90,NA,141.2034009,0.547748847,3.547920007,LC,0.100096073,30.2054696,NA,0.100096073,30.2054696,-1,2,"nekton, zoobenthos, zooplankton",1,1
Acanthopagrus bifasciatus,Acanthopagrus,NA,Sparidae,Eupercaria/misc,Actinopteri,Osteichthyes,26,NA,tropical,30,N,12,N,33,E,43,E,NA,NA,fusiform / normal,19,NA,NA,NA,NA,NA,NA,NA,NA,815000,habitat_reef,reef-associated,36.20000076,NA,1089.812244,0.48670769,3.445169816,LC,0.0021762,24.71560293,NA,0.0021762,24.71560293,-3,1,zoobenthos,4,4
Acanthopagrus latus,Acanthopagrus,NA,Sparidae,Eupercaria/misc,Actinopteri,Osteichthyes,27,NA,subtropical,66,N,75,S,136,W,153,E,NA,NA,short and / or deep,NA,NA,NA,NA,NA,NA,planktonic,0.146,7,4432500,habitat_coastal,demersal,40,yellowfin seabream,3432.653845,0.418755885,3.865511506,DD,0.042968222,30.9686077,33.7,0.146,33.7,-1,2,"nekton, zoobenthos",1,1
Acanthopagrus schlegelii,Acanthopagrus,NA,Sparidae,Eupercaria/misc,Actinopteri,Osteichthyes,17,NA,subtropical,66,N,75,S,136,W,153,E,NA,NA,short and / or deep,NA,197.78571428571428,25,open water/substratum egg scatterers,one clear seasonal peak per year,coastal,planktonic,0.364,5,675000,habitat_coastal,demersal,50,blackhead seabream,2274.073215,0.44458551,3.305055929,NA,0.053968556,29.5194732,NA,0.364,29.5194732,-1,1,"nekton, plants, zoobenthos, zooplankton",4,4
Acanthurus sohal,Acanthurus,Acanthurinae,Acanthuridae,Acanthuriformes,Actinopteri,Osteichthyes,26,6,tropical,30,N,12,N,33,E,43,E,NA,NA,short and / or deep,NA,NA,NA,open water/substratum egg scatterers,NA,NA,NA,NA,NA,955000,habitat_reef,reef-associated,40,NA,202.6964938,0.530369312,2.146781041,LC,0.021222514,35.44937462,NA,0.021222514,35.44937462,-2,2,plants,1,8
Acipenser transmontanus,Acipenser,Acipenserinae,Acipenseridae,Acipenseriformes,Actinopteri,Osteichthyes,16,23.2999992370605,subtropical,66,N,75,S,136,W,153,E,2349500,1374050,elongated,104,63.689,12.5,open water/substratum egg scatterers,NA,riverine,NA,NA,NA,350000,habitat_coastal,demersal,610,NA,3863.42155,0.08634626,3.25,LC,0.914233201,51.78197897,NA,0.914233201,51.78197897,-1,2,"nekton, others, zoobenthos, zooplankton",1,1
Aethaloperca rogaa,Aethaloperca,Epinephelinae,Serranidae,Perciformes/Serranoidei,Actinopteri,Osteichthyes,27,NA,tropical,30,N,12,N,33,E,43,E,NA,NA,short and / or deep,NA,NA,NA,open water/substratum egg scatterers,NA,NA,NA,NA,NA,10922500,habitat_reef,reef-associated,60,NA,161.7523983,0.392822614,4.201784858,LC,0.034744312,29.61158528,NA,0.034744312,29.61158528,-2,1,"nekton, zoobenthos",4,4
Albula vulpes,Albula,Albulinae,Albulidae,Albuliformes,Actinopteri,Osteichthyes,26,NA,tropical,30,N,12,N,33,E,43,E,1700000,1050000,fusiform / normal,NA,290.5,20.6,open water/substratum egg scatterers,NA,shelf,planktonic,0.65,32,1525000,habitat_lagoon,reef-associated,104,bonefish,847.2094178,0.463332904,3.73,NT,0.14844201,30.63762531,NA,0.65,30.63762531,-1,2,"nekton, zoobenthos",1,1
Alepes djedaba,Alepes,Caranginae,Carangidae,Carangiformes,Actinopteri,Osteichthyes,27,NA,tropical,30,N,12,N,33,E,43,E,NA,NA,fusiform / normal,NA,NA,NA,open water/substratum egg scatterers,one clear seasonal peak per year,NA,planktonic,NA,NA,8030000,habitat_reef,reef-associated,40,NA,261.8920556,1.017167166,3.379783269,LC,0.021430749,37.50322986,NA,0.021430749,37.50322986,-2,2,"detritus, nekton, zoobenthos",1,8
Allocyttus niger,Allocyttus,Oreosomatinae,Oreosomatidae,Zeiformes,Actinopteri,Osteichthyes,9,NA,tropical,30,N,66,S,20,E,142,E,62000,33500,short and / or deep,100,NA,NA,NA,one clear seasonal peak per year,NA,NA,NA,NA,2897500,habitat_deep,bathypelagic,47,NA,53915.20279,0.064718913,3.56660186,NA,0.09562125,57.42709887,NA,0.09562125,57.42709887,-2,2,"nekton, plants, zoobenthos, zooplankton",1,8
Allothunnus fallai,Allothunnus,Scombrinae,Scombridae,Scombriformes,Actinopteri,Osteichthyes,NA,NA,tropical,30,N,66,S,20,E,142,E,NA,NA,fusiform / normal,NA,NA,NA,open water/substratum egg scatterers,NA,NA,NA,NA,NA,48347500,pelagic,pelagic-oceanic,105,NA,451.3659255,0.596518223,3.7,LC,1.006909146,30.69430762,NA,1.006909146,30.69430762,0,2,"nekton, others, zoobenthos, zooplankton",1,1
Alosa fallax,Alosa,Alosinae,Clupeidae,Clupeiformes,Actinopteri,Osteichthyes,16,NA,tropical,32,N,5,S,23,E,40,E,200000,137500,fusiform / normal,25,NA,NA,open water/substratum egg scatterers,one clear seasonal peak per year,riverine,NA,NA,NA,2272500,migratory,pelagic-neritic,60,NA,40.65587962,0.806181057,4.03,LC,0.045559756,35.56004388,NA,0.045559756,35.56004388,-2,2,"detritus, nekton, zoobenthos, zooplankton",1,8
Alosa immaculata,Alosa,Alosinae,Clupeidae,Clupeiformes,Actinopteri,Osteichthyes,13,NA,temperate,50,N,43,N,9,E,30,E,171554.66666666666,97356,fusiform / normal,7,NA,NA,open water/substratum egg scatterers,one clear seasonal peak per year,riverine,NA,NA,NA,90000,migratory,pelagic-neritic,39,NA,984.1313685,0.989034626,3.98,VU,0.007079126,36.54466663,NA,0.007079126,36.54466663,-3,2,"nekton, zoobenthos",1,8
Alosa pseudoharengus,Alosa,Alosinae,Clupeidae,Clupeiformes,Actinopteri,Osteichthyes,8,NA,subtropical,90,N,70,S,97,W,20,E,287279.5,159855.625,fusiform / normal,9,NA,NA,open water/substratum egg scatterers,one clear seasonal peak per year,riverine,in close association with substrate,NA,NA,887500,habitat_coastal,pelagic-neritic,40,NA,24511.5196,1.842742708,3.39,LC,0.060781818,29.96572933,5.484285714,0.060781818,5.484285714,-2,1,"nekton, plants, zoobenthos, zooplankton",4,4
Alosa sapidissima,Alosa,Alosinae,Clupeidae,Clupeiformes,Actinopteri,Osteichthyes,10,NA,subtropical,90,N,70,S,97,W,20,E,376408.25,224341,fusiform / normal,13,NA,NA,open water/substratum egg scatterers,one clear seasonal peak per year,riverine,planktonic,NA,NA,690000,pelagic,pelagic-neritic,76,NA,4287.867606,1.012650669,3.48,LC,0.109367407,31.1198105,8.916666667,0.109367407,8.916666667,-1,1,"nekton, zoobenthos, zooplankton",4,4
Amblygaster sirm,Amblygaster,Dorosomatinae,Clupeidae,Clupeiformes,Actinopteri,Osteichthyes,NA,NA,tropical,30,N,12,N,33,E,43,E,80340,72545,fusiform / normal,8,NA,NA,open water/substratum egg scatterers,"throughout the year, but peaking once",NA,NA,NA,NA,9910000,habitat_coastal,reef-associated,27,NA,71364.80881,1.416628191,2.978123494,LC,0.001822796,46.50725303,NA,0.001822796,46.50725303,-3,2,"plants, zooplankton",1,8
Ammodytes personatus,Ammodytes,NA,Ammodytidae,Perciformes/Uranoscopoidei,Actinopteri,Osteichthyes,15,NA,subtropical,66,N,75,S,136,W,153,E,NA,NA,elongated,3,NA,NA,NA,NA,NA,planktonic,NA,NA,1835000,habitat_coastal,demersal,15,NA,2935070.704,0.344053886,3.1525,NA,0.001542446,49.7468625,NA,0.001542446,49.7468625,-3,2,NA,1,8
Amphichthys cryptocentrus,Amphichthys,Batrachoidinae,Batrachoididae,Batrachoidiformes,Actinopteri,Osteichthyes,NA,NA,subtropical,90,N,70,S,97,W,20,E,NA,NA,elongated,NA,NA,NA,nesters,NA,NA,NA,NA,NA,972500,sedentary,reef-associated,40,NA,3263.489613,0.57223899,3.75,LC,0.015967157,28.27429759,NA,0.015967157,28.27429759,-2,1,"nekton, zoobenthos",4,4
Anarhichas denticulatus,Anarhichas,NA,Anarhichadidae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,4,NA,subtropical,90,N,70,S,97,W,20,E,NA,NA,elongated,NA,NA,NA,NA,NA,NA,NA,NA,NA,3635000,habitat_deep,benthopelagic,180,NA,25393.14083,0.100670808,4.052330035,NA,0.184868608,45.41195355,NA,0.184868608,45.41195355,-1,2,"nekton, zoobenthos, zooplankton",1,1
Anarhichas lupus,Anarhichas,NA,Anarhichadidae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,9,NA,subtropical,90,N,70,S,97,W,20,E,NA,NA,elongated,NA,NA,NA,clutch tenders,one clear seasonal peak per year,NA,in close association with substrate,NA,NA,1955000,habitat_coastal,demersal,150,NA,81375.50792,0.104945385,3.55,NA,0.230165491,46.24625559,NA,0.230165491,46.24625559,-1,2,"nekton, others, zoobenthos, zooplankton",1,1
