species,common_name,homerange,n_ind,kfin,r_fin,iucn_category,length,diet_troph3,Class,demers_pelag,family,movement_keyword,geog_range,m_fin
Acanthopagrus latus,yellowfin seabream,0.146,7,3432.6538454980846,0.4187558853,DD,40,3.8655115063027354,Actinopteri,demersal,Sparidae,habitat_coastal,4432500,2
Acanthopagrus schlegelii,blackhead seabream,0.364,5,2274.0732148467905,0.44458551,NA,50,3.305055928551469,Actinopteri,demersal,Sparidae,habitat_coastal,675000,2
Albula vulpes,bonefish,0.65,32,847.2094177679169,0.4633329042,NT,104,3.73,Actinopteri,reef-associated,Albulidae,habitat_lagoon,1525000,2
Balistes capriscus,grey triggerfish,0.001307,13,459.85512772236603,0.824568385,VU,60,4.06,Actinopteri,reef-associated,Balistidae,habitat_reef,5260000,2
Boreogadus saida,artic cod,0.22,77,272362.6872357956,0.3707615497,NA,40,3.12,Actinopteri,demersal,Gadidae,migratory,4780000,3
Boreogadus saida,artic cod,0.21,15,272362.6872357956,0.3707615497,NA,40,3.12,Actinopteri,demersal,Gadidae,migratory,4780000,3
Caranx crysos,blue runner,0.021204,23,18701.458386321763,0.7108643468,LC,70,4.13,Actinopteri,reef-associated,Carangidae,habitat_coastal,3710000,2
Caranx ignobilis,giant trevally,84.74416667,14,47191.53769557519,0.4220044731,LC,170,4.22,Actinopteri,reef-associated,Carangidae,habitat_reef,13842500,2
Caranx ignobilis,giant trevally,0.0528,4,47191.53769557519,0.4220044731,LC,170,4.22,Actinopteri,reef-associated,Carangidae,habitat_reef,13842500,2
Carcharhinus falciformis,silky shark,276671,2,158702.96090647503,0.06680203028,VU,350,4.51,Elasmobranchii,reef-associated,Carcharhinidae,hms,134877500,3
Carcharhinus sorrah,spot-tail shark,39.8,20,382248.105574958,0.1811395766,NT,160,4.15,Elasmobranchii,reef-associated,Carcharhinidae,hms,11227500,3
Caulolatilus princeps,ocean whitefish,0.019774688,16,12.1229121757122,0.3606394187,LC,102,3.81,Actinopteri,reef-associated,Latilidae,habitat_reef,812500,2
Centropomus undecimalis,common snook,220.625,101,17095.644858771528,0.6418890946,LC,140,4.17,Actinopteri,reef-associated,Centropomidae,habitat_coastal,2412500,2
Centropristis striata,black seabass,3.75,109,24088.86012189538,0.3905954849,LC,66,3.89,Actinopteri,reef-associated,Serranidae,habitat_reef,632500,2
