species,observed_homerange,family,n_ind,geog_range,movement_keyword,demers_pelag,length,common_name,kfin,r_fin,diet_troph3,class,iucn_category,predicted_homerange,predicted_pld,observed_pld
Acanthopagrus latus,0.146,Sparidae,7,4432500,habitat_coastal,demersal,40,yellowfin seabream,3432.653845,0.418755885,3.865511506,Actinopteri,DD,0.042968222,30.9686077,33.7
Acanthopagrus schlegelii,0.364,Sparidae,5,675000,habitat_coastal,demersal,50,blackhead seabream,2274.073215,0.44458551,3.305055929,Actinopteri,NA,0.053968556,29.5194732,NA
Albula vulpes,0.65,Albulidae,32,1525000,habitat_lagoon,reef-associated,104,bonefish,847.2094178,0.463332904,3.73,Actinopteri,NT,0.14844201,30.63762531,NA
Balistes capriscus,0.001307,Balistidae,13,5260000,habitat_reef,reef-associated,60,grey triggerfish,459.8551277,0.824568385,4.06,Actinopteri,VU,0.027174268,34.49780138,NA
Caranx crysos,0.021204,Carangidae,23,3710000,habitat_coastal,reef-associated,70,blue runner,18701.45839,0.710864347,4.13,Actinopteri,LC,0.128620694,29.46557768,NA
Centropomus undecimalis,220.625,Centropomidae,101,2412500,habitat_coastal,reef-associated,140,common snook,17095.64486,0.641889095,4.17,Actinopteri,LC,0.534124994,30.83860861,NA
Centropristis striata,3.75,Serranidae,109,632500,habitat_reef,reef-associated,66,black seabass,24088.86012,0.390595485,3.89,Actinopteri,LC,0.140275129,32.13870411,NA
Cephalopholis argus,0.0015,Serranidae,20,10685000,habitat_reef,reef-associated,60,peacock hind,173.6145665,0.453164741,4.48,Actinopteri,LC,0.029182461,28.21012433,27.5
Cephalopholis boenak,8.13E-06,Serranidae,50,10042500,habitat_reef,reef-associated,30,brown-banded seabass,467414.1572,0.477019133,4.07,Actinopteri,LC,9.37E-04,33.28281846,31
Cephalopholis hemistiktos,1.10E-05,Serranidae,16,852500,territorial,reef-associated,35,yellowfin hind,1047.361541,0.369072173,4.14,Actinopteri,LC,6.02E-04,31.80245798,NA
Cephalopholis miniata,2.14E-04,Serranidae,30,11952500,territorial,reef-associated,50,coral hind,990.2623918,0.453164741,4.29,Actinopteri,LC,0.21545971,23.68710686,NA
Conger conger,6.04E-04,Congridae,1,3262500,habitat_benthic,demersal,300,european conger,123532.8338,0.208342505,4.31,Actinopteri,LC,0.387770487,50.827262,NA
Dicentrarchus labrax,0.0177,Moronidae,2,1665000,habitat_coastal,demersal,103,european seabass,51902.73934,0.531450639,3.519897228,Actinopteri,LC,0.265532079,42.01468486,49.17666667
