term,estimate,std.error,statistic,p.value
(Intercept),-1.0879250382165861,1.0243466267353205,-1.0620672825212452,0.2886816496556979
length,-0.026231391938787502,0.011788907895567325,-2.2250909220056427,0.026489001888484333
r_fin,-1.586472725566084,1.7033858508517639,-0.9313642735571518,0.35208290859055946
longevity_wild,-0.023272212478888114,0.025587367715368455,-0.9095196011471787,0.36348318739046204
temp_preferred,-0.1648485964107998,0.052218732825748855,-3.156886187968039,0.001683985637356463
length:r_fin,-0.014183750233735045,0.028166591602401352,-0.5035664390620058,0.614772199851076
length:longevity_wild,1.700874153125665e-4,2.716314054028006e-4,0.626169919712873,0.5314690620483976
r_fin:longevity_wild,-0.21422035051140814,0.14420547856102836,-1.4855215810732822,0.13799142184730376
length:temp_preferred,0.002436645005603947,5.6191306826167e-4,4.336338026702125,1.73002557223009e-5
r_fin:temp_preferred,0.06832787586208934,0.0845994298629046,0.807663550130495,0.4196412373534548
longevity_wild:temp_preferred,0.002797759942770582,0.001689706779201114,1.6557665372529018,0.0983522282860785
length:r_fin:longevity_wild,0.00408941822367515,0.0015208870327095105,2.6888375899883346,0.007392497134958567
length:r_fin:temp_preferred,9.422686691835766e-4,0.0012667782186859713,0.7438308105431365,0.4573035647781041
length:longevity_wild:temp_preferred,-2.3801348457897277e-5,1.5441196309438513e-5,-1.5414186816178599,0.12380286977986361
r_fin:longevity_wild:temp_preferred,0.007583036669880082,0.006477078234430795,1.1707495873016083,0.24221774466348583
length:r_fin:longevity_wild:temp_preferred,-1.8690584712704764e-4,6.792953489903158e-5,-2.751466610287541,0.006132936870383953
