term,estimate,std.error,statistic,p.value
(Intercept),5.8558291209970745,2.198507422409048,2.6635475783749962,0.008385529752886006
length,-0.1344132371683214,0.033345469291100736,-4.030929539330062,7.990857060153719e-5
r_fin,-3.396982390884408,4.748636358806222,-0.7153595546613698,0.4752514003578222
longevity_wild,-0.1163433819323571,0.08272276939509267,-1.4064251328033863,0.16120599546862457
temp_preferred,-0.5132788974829382,0.10994380143435518,-4.668556942606762,5.667743118600172e-6
length:r_fin,0.05678259179544392,0.0795868499907513,0.7134670087086317,0.4764186606800027
length:longevity_wild,0.0022003911667751023,0.001384133417358324,1.5897247614862446,0.11353359102989986
r_fin:longevity_wild,-0.4233772390878946,0.2921951952206139,-1.4489534599233753,0.14897338824724196
length:temp_preferred,0.007869172147370556,0.001542998098312704,5.099923425683827,8.08581681413591e-7
r_fin:temp_preferred,0.24475613110185965,0.21567972730969007,1.1348128734900493,0.25786114597431825
longevity_wild:temp_preferred,0.005876990762837925,0.0042241005374907305,1.3912999254343201,0.16573616703658595
length:r_fin:longevity_wild,0.005235103607469012,0.0035978367828568593,1.4550697887167863,0.14727446933687005
length:r_fin:temp_preferred,-0.0038334222767362506,0.003519695686015621,-1.0891345783009372,0.2774526143402107
length:longevity_wild:temp_preferred,-1.2153845371867331e-4,5.9116162960503416e-5,-2.055925953784845,0.041135780259379064
r_fin:longevity_wild:temp_preferred,0.018498380088232694,0.013590414970003113,1.3611343089274672,0.175058352152975
length:r_fin:longevity_wild:temp_preferred,-2.107772579686348e-4,1.629784657100739e-4,-1.2932828705332842,0.19745905519232476
