species,ocean,basin
Acanthocybium solandri,indian,NA
Acanthopagrus berda,indian,NA
Acanthopagrus bifasciatus,indian,NA
Acanthurus sohal,indian,NA
Allothunnus fallai,indian,NA
Alosa fallax,indian,NA
Amblygaster sirm,indian,NA
Anodontostoma chacunda,indian,NA
Argyrops spinifer,indian,NA
Auxis thazard,indian,NA
Bolbometopon muricatum,indian,NA
Callorhinchus milii,indian,NA
Centriscops humerosus,indian,NA
Cephalopholis argus,indian,NA
Cephalopholis boenak,indian,NA
Cephalopholis hemistiktos,indian,NA
Cephalopholis miniata,indian,NA
Cheimerius nufar,indian,NA
Chirocentrus dorab,indian,NA
Chirocentrus nudus,indian,NA
Crenidens crenidens,indian,NA
Cymatoceps nasutus,indian,NA
Diplodus sargus,indian,NA
Diplodus sargus,indian,NA
Dussumieria acuta,indian,NA
Dussumieria elopsoides,indian,NA
Encrasicholina punctifer,indian,NA
Engraulis encrasicolus,indian,NA
Epinephelus areolatus,indian,NA
Epinephelus chlorostigma,indian,NA
Epinephelus fuscoguttatus,indian,NA
Epinephelus merra,indian,NA
Epinephelus multinotatus,indian,NA
Epinephelus polylepis,indian,NA
Epinephelus summana,indian,NA
Epinephelus tauvina,indian,NA
Etrumeus whiteheadi,indian,NA
Euthynnus affinis,indian,NA
Gasterochisma melampus,indian,NA
Gymnosarda unicolor,indian,NA
Herklotsichthys quadrimaculatus,indian,NA
Hilsa kelee,indian,NA
Istiompax indica,indian,NA
Istiophorus platypterus,indian,NA
Kajikia audax,indian,NA
Katsuwonus pelamis,indian,NA
Lithognathus mormyrus,indian,NA
Makaira nigricans,indian,NA
Megalops cyprinoides,indian,NA
Megalops cyprinoides,indian,NA
Nematalosa nasus,indian,NA
Naso unicornis,indian,NA
Pagrus major,indian,NA
Petrus rupestris,indian,NA
Plectropomus areolatus,indian,NA
Plectropomus leopardus,indian,NA
Plectropomus pessuliferus,indian,NA
Pomacanthus maculosus,indian,NA
Pterogymnus laniarius,indian,NA
Rastrelliger brachysoma,indian,NA
Rhabdosargus globiceps,indian,NA
Rhabdosargus haffara,indian,NA
Sardinella lemuru,indian,NA
Sardinella longiceps,indian,NA
Sardinella maderensis,indian,NA
Sarda orientalis,indian,NA
Sarda sarda,indian,NA
Sardinella gibbosa,indian,NA
Sardinops sagax,indian,NA
Sarpa salpa,indian,NA
Scomber australasicus,indian,NA
Scarus ghobban,indian,NA
Scarus persicus,indian,NA
Scomberomorus commerson,indian,NA
Scomberomorus guttatus,indian,NA
Scomberomorus lineolatus,indian,NA
Tenualosa ilisha,indian,NA
Tetrapturus angustirostris,indian,NA
Thunnus alalunga,indian,NA
Thunnus albacares,indian,NA
Thunnus maccoyii,indian,NA
Thunnus obesus,indian,NA
Thunnus tonggol,indian,NA
Variola louti,indian,NA
Xiphias gladius,indian,NA
Boops boops,artic,NA
Chimaera monstrosa,artic,NA
Clupea harengus,artic,NA
Ctenolabrus rupestris,artic,NA
Engraulis encrasicolus,artic,NA
Labrus bergylta,artic,NA
Pagellus bogaraveo,artic,NA
Pagellus erythrinus,artic,NA
Sardina pilchardus,artic,NA
Scomber scombrus,artic,NA
Spondyliosoma cantharus,artic,NA
Sprattus sprattus,artic,NA
Tautogolabrus adspersus,artic,NA
Thunnus thynnus,artic,NA
Xiphias gladius,artic,NA
Acanthocybium solandri,atlantic,east
Allothunnus fallai,atlantic,east
Alosa fallax,atlantic,east
Archosargus probatocephalus,atlantic,east
Auxis thazard,atlantic,east
Boops boops,atlantic,east
Centriscops humerosus,atlantic,east
Cephalopholis fulva,atlantic,east
Cetengraulis edentulus,atlantic,east
Cheimerius nufar,atlantic,east
Chimaera monstrosa,atlantic,east
Clupea harengus,atlantic,east
Ctenolabrus rupestris,atlantic,east
Cymatoceps nasutus,atlantic,east
Dentex angolensis,atlantic,east
Dentex congoensis,atlantic,east
Dentex dentex,atlantic,east
Dentex macrophthalmus,atlantic,east
Diplodus annularis,atlantic,east
Diplodus sargus,atlantic,east
Diplodus sargus,atlantic,east
Diplodus sargus,atlantic,east
Diplodus sargus,atlantic,east
Diplodus sargus,atlantic,east
Diplodus vulgaris,atlantic,east
Elops lacerta,atlantic,east
Elops lacerta,atlantic,east
Elops lacerta,atlantic,east
Elops lacerta,atlantic,east
Engraulis encrasicolus,atlantic,east
Epinephelus aeneus,atlantic,east
Epinephelus morio,atlantic,east
Ethmalosa fimbriata,atlantic,east
Ethmalosa fimbriata,atlantic,east
Etrumeus whiteheadi,atlantic,east
Euthynnus alletteratus,atlantic,east
Gasterochisma melampus,atlantic,east
Hyporthodus mystacinus,atlantic,east
Ilisha africana,atlantic,east
