term,estimate,std.error,statistic,p.value
(Intercept),73.87326287697768,7.155414610915327,10.324106553418536,6.310092776833839e-23
length,-0.13412036131127272,0.08156791018709957,-1.6442785036864243,0.10070068985457936
r_fin,-40.26870620078032,9.561497017490938,-4.211548267715441,2.9715179902435592e-5
longevity_wild,-0.04615269724788314,0.1458189630704505,-0.3165068265201219,0.7517401566971247
temp_preferred,-1.7546117049788827,0.36429379366012266,-4.816474327904398,1.900588682147678e-6
length:r_fin,0.2258884809793944,0.15231903613948966,1.482995735165576,0.13865891366397873
length:longevity_wild,0.0017180126271556448,0.0014637922302831125,1.1736724595288797,0.24104363434073056
r_fin:longevity_wild,-1.0073930626274317,0.31647015083570756,-3.183216679257723,0.0015403653050964042
length:temp_preferred,0.007681060377846498,0.003868023993272408,1.9857840569774239,0.04756255661882257
r_fin:temp_preferred,2.218413427230575,0.4575654967377267,4.848297004575399,1.6305478239183563e-6
longevity_wild:temp_preferred,0.016043651744658043,0.010219936605667309,1.569838675492496,0.11703838992367863
length:r_fin:longevity_wild,0.007192276139286151,0.003091783333802806,2.3262549030044273,0.02037415934576516
length:r_fin:temp_preferred,-0.01433970079836526,0.0065700790066348606,-2.182576614966756,0.029497076562513835
length:longevity_wild:temp_preferred,-1.4968647308404395e-4,8.712137970430139e-5,-1.7181370817598929,0.08634484411592365
