term,estimate,std.error,statistic,p.value
(Intercept),62.861063419076984,11.263766224134754,5.5808210298599095,8.024754920513125e-8
length,-127.65361556297755,116.09130663340177,-1.0995966818263812,0.27287758579938665
r_fin,-117.33457118137375,42.87758798205484,-2.7365012050230226,0.006789361349519648
longevity_wild,0.3997481783157705,37.20908687930952,0.01074329449718516,0.9914393529889882
temp_preferred,-37.924301756568,16.180496978491117,-2.3438279928596213,0.020104281765331612
length:r_fin,1466.4760060027713,594.5778390290668,2.4664155132278323,0.014519558492415836
length:longevity_wild,500.529000769457,519.8190635498669,0.962890813105858,0.33680718570671697
r_fin:longevity_wild,151.20472431554455,349.9297370814468,0.43210024268486613,0.6661509259955765
length:temp_preferred,163.68758281418988,150.60531826819937,1.0868645589440173,0.27845219498867146
r_fin:temp_preferred,149.78587868560422,54.96077685432851,2.725323171515681,0.007014562943580455
longevity_wild:temp_preferred,40.89324857664644,63.375911127858664,0.6452490835854928,0.5195320977385536
length:r_fin:longevity_wild,-3543.146822818126,2919.0153701571057,-1.2138157472694049,0.22630136514364044
length:r_fin:temp_preferred,-1681.5818855752432,734.9225830459903,-2.2881075154959722,0.02321494254368308
length:longevity_wild:temp_preferred,-652.4191550996411,617.8291322688486,-1.0559863901266162,0.292294477553793
r_fin:longevity_wild:temp_preferred,-335.99508804178396,457.4933221217324,-0.7344262130068436,0.46358036586972007
length:r_fin:longevity_wild:temp_preferred,4445.578239256368,3678.0007223651564,1.2086942267911294,0.22825909102168487
